OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
225,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.0010400515552864001,0.179046390037037
30,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,mrine shoreine and offshore, , , ,0.00308651105629978,0.240700229062043
216,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000222373163229408,0.07118636626684101
186,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.0034394012773831,0.445309041630137
59,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.0960027233082663,1.72244074047211
45,Tc,Tertiary,Paleocene,Cannonball Formation, ,150,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,0.0051681698192835804,0.34782926106552
76,Tw,Tertiary,Oligocene,Brule and Chadron Formation,White River,80,pinkish; light colored,"siltstone, clay, and sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,0.00019713419120398403,0.0547715419168573
114,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.010997085476715102,0.42152923589881997
198,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00048622952331008,0.0975055997197934
135,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.0241476533282857,0.747254629041787
79,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.0017724284316501101,0.261228279205327
251,pC,PreCambrian,unnamed,unnamed, ,0,various,Igneous,Metamorphic,See source document for details, , , , , ,0.162281441657914,5.10348397401647
132,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.000619089503221312,0.11562949258819999
8,Kp,Cretaceous,Upper Cretaceous,Pierre Formation, ,700,dark gray,shale, , , ,marine offshore, , , ,0.004535606813907971,0.37648015835827403
83,Tp,Tertiary,Paleocene,Slope Formation, ,100,"grayish-brown, yellowish brown","silt, sand, clay, sandstone, and lignite", , , ,"river, lake, and swamp", , , ,0.00355794182589645,0.423116433167109
44,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.0635628708563998,2.09298566944988
113,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.005820339282628,0.322705772433092
207,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000301881041217216,0.0802225617487776
161,Tw,Tertiary,Oligocene,Brule and Chadron Formations,White River,80,pinkish; light colored,"siltstone, clay, and sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,0.000250696974066304,0.09614906026470711
164,Tw,Tertiary,Oligocene,Brule and Chadron Formations,White River,80,pinkish; light colored,"siltstone, clay, sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,0.0007120299059081921,0.123594043477983
214,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00074060766468352,0.193065121632477
212,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000149441832878336,0.0484310229579236
219,Tg,Tertiary,Eocene or Paleocene,Golden Valley, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00025584156579084796,0.0619256135087218
11,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.6967557187051691,26.800150856679497
46,Tc,Tertiary,Paleocene,Cannonball Formation, ,150,olive brown,"sand, shale, sandstone", , , ,"marine shoreline, offshore", , , ,0.015612581180177401,0.517208493278595
98,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.00268499393828659,0.315302320419159
175,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00042201065275731197,0.110637983561681
38,Or,Ordovician, ,Red River Formation, ,215,yellowish to brownish gray,limestone and dolomite, , , ,offshore marine, , , ,0.012150889817581301,0.854841635793841
