OBJECTID,SITE_NO,LAN_FA_TY,LOCID,EFF_DATE,FAA_REGION,FAA_DISTRI,FAA_ST,STATE_NAME,COUNTY_NAM,COUNTY_ST,CITY_NAME,FULLNAME,OWNER_TYPE,FAC_USE,FAC_CYSTZP,ELEV,AERO_CHART,CBD_DIST,CBD_DIR,ACT_DATE,CERT_TYPE,FED_AGREE,INTERNATIO,CUST_LNDG,JOINT_USE,MIL_LNDG_R,MIL_INT,CNTL_TWR,S_ENG_GA,M_ENG_GA,JET_EN_GA,HELICOPTER,OPER_GLIDE,OPER_MIL,ULTRALIGHT,COMM_SERV,AIR_TAXI,LOCAL_OPS_,ITIN_OPS_G,MIL_OPS,LATITUDE,LONGITUDE,STFIPS,ST_POSTAL,CY_05_ENP,VERSION
20,17254.75*A,AIRPORT,NA25,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC HENRY,ND,BANTRY,HOLEN AERIAL SPRAY AIRSTRIP,PR,PR,"UPHAM, ND 58789",1460,BILLINGS,02,W,04/1982, , , , , , , ,N,001, , , , , , , , , , , ,48.4986116667,-100.65263277780001,38,ND,0,10
86,17320.1*A,AIRPORT,4E7,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,DICKEY,ND,ELLENDALE,ELLENDALE MUNI,PU,PU,"ELLENDALE, ND 58436",1455,TWIN CITIES,01,NE, , ,NGY,N,N,N,Y, ,N,004, , , , , , , ,000050,001800,000200, ,46.0124719444,-98.5128788889,38,ND,3,10
80,17310.1*A,AIRPORT,S28,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,ROLETTE,ND,DUNSEITH,INTL PEACE GARDEN,PU,PU,"BISMARCK, ND 58502",2314,TWIN CITIES,11,N, , ,NGY,N,Y,N,Y, ,N, , , , , , , , ,000050, ,000250, ,48.9977819444,-100.0434588889,38,ND,0,10
181,17399.55*A,AIRPORT,7G2,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,SHERIDAN,ND,MC CLUSKY,MC CLUSKY MUNI,PU,PU,"MC CLUSKY, ND 58463",1900,TWIN CITIES,02,SW, , , ,N,N, , , ,N,002, , , , , , , ,000010,000300,000200, ,47.462219722200004,-100.48734972220001,38,ND,0,10
88,17321.01*A,AIRPORT,ND47,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,ENDERLIN,GESKE AIRFIELD,PR,PR,"ENDERLIN, ND 58027-9505",1103,TWIN CITIES,03,ENE,11/2002, , , , , , , ,N, , , , , , , , , , , , ,46.640805555600004,-97.5511222222,38,ND,0,10
17,17253.*A,AIRPORT,ASY,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC INTOSH,ND,ASHLEY,ASHLEY MUNI,PU,PU,"ASHLEY, ND 58413",2032,TWIN CITIES,01,SE, , , ,N,N,N,N, ,N,003, , , , , , , ,000200,000400,000600, ,46.023862777800005,-99.35261416670001,38,ND,0,10
261,17462.36*A,AIRPORT,7NA9,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,SOURIS,SJULE PVT AIRSTRIP,PR,PR,"SOURIS, ND 58783",1680,TWIN CITIES,05,NE,04/1986, , , , , , , ,N, , , , , , , , , , , , ,48.9283483333,-100.57792777780001,38,ND,0,10
258,17462.25*A,AIRPORT,NA06,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BENSON,ND,SHEYENNE,BOURET RANCH,PR,PR,"SHEYENNE, ND 58374",1505,TWIN CITIES,06,NE, , , , , , , , ,N,001, , , , , , , , , , , ,47.8627755556,-98.9726175,38,ND,0,10
61,17285.993*A,AIRPORT,3NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,STEELE,ND,CLIFFORD,ERICKSON,PR,PR,"PORTLAND, ND 58274",1095,TWIN CITIES,06,NW,11/1984, , , , , , , ,N,001, , , , , , , , , , , ,47.4166538889,-97.5114791667,38,ND,0,10
5,17244.33*A,AIRPORT,26ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC KENZIE,ND,ALEXANDER,CHITWOOD AIRSTRIP,PR,PR,"ALEXANDER, ND 58831",2180,BILLINGS,08,S, , , , , , , , ,N,001, , , , , , , , , , , ,47.709739166700004,-103.6435311111,38,ND,0,10
