OBJECTID,NAME,AREA_ACRES,AREA_SQMI,SHAPE.AREA,SHAPE.LEN
180,Strasburg,79387.6844637,124.04299927,0.037419332185819304,2.50684841267667
112,Bicker,1062.41647335,1.66003001,0.000522837175791549,0.110159285656334
251,Northwest Buried Channel,5240.31406316,8.18799019,0.00256802453494054,0.262083211673427
184,East Fork Shell Creek,3067.37297628,4.79276991,0.00149409176543558,0.425363513105415
253,Souris River,107985.532089,168.727005,0.0530755199145081,6.3994511625741
257,Deer Lake,9687.94828901,15.13739967,0.004638747439145271,0.256038084807036
275,Spiritwood-Rogers,5107.97684713,7.98121023,0.0024446712688549997,0.338519637374713
56,Unnamed,883.64556798,1.38069999,0.000437622966042829,0.0910613865220952
244,Rolla,33170.3013855,51.82860184,0.016444396303971,0.898459002313127
189,Upper Apple Creek,16401.3645821,25.62709999,0.00784206696330453,1.14328318761054
240,Seven Mile Coulee,3316.88428737,5.18263006,0.0015852057745610701,0.259317336294297
121,Unnamed,2909.91706952,4.54675007,0.0013873092944714901,0.503327104196798
83,Trenton,34656.7893914,54.15119934,0.0168976540194683,0.684644667234125
220,North Burleigh,25682.661086,40.12919998,0.012367576706234,0.859420292426752
40,Unnamed,1179.48267761,1.84293997,0.000570544703448599,0.176374421276148
19,Unnamed,474.92950478,0.74207699,0.000224297485537427,0.12300178809644201
52,Pembina Delta,52003.5738536,81.25559998,0.0257537333778964,0.6976117097180451
241,Wimbledon,18283.6465723,28.56819916,0.00876313283591712,0.5913943026606461
60,Smoky Butte,6413.59921803,10.02120018,0.00316473577696923,0.34480960851910597
77,Koble,2344.41520051,3.66315007,0.00112012290107427,0.17279777826432602
159,Square Butte Creek,4897.63057151,7.65255022,0.00235033584980448,0.803529127236426
102,Wildrose,28412.1634313,44.39400101,0.0140275699037689,0.512435331563987
192,Bismarck,17783.1001791,27.78610039,0.00847347748447508,0.610574946517589
68,Zeeland,11156.5506752,17.4321003,0.00524284664164839,0.602901332165755
42,Maddock,5956.48028368,9.30700016,0.00289962017856596,0.20343499449618702
141,Braddock,9028.67213296,14.1072998,0.00428292708331889,0.581960351703112
24,Tower City,3655.78358472,5.71216011,0.00174827025318671,0.599393805497528
32,Fillmore,1450.31639326,2.26611996,0.000709292683730787,0.14421725101640498
194,Englevale Middle,415.95392095,0.64992797,0.00019646770431353,0.11919492124391699
67,South Branch Beaver Creek,8635.91683751,13.49359989,0.0040651979160940205,0.462997049019075
142,Unnamed,10287.6527897,16.07449913,0.00496604682593519,0.558154655040128
232,Vang,8661.24822853,13.53320026,0.0042246531522270505,0.798797352483677
216,Lost Lake,25900.1211304,40.46889877,0.012474269545482601,1.23365010617012
158,Fox Haven,5359.29551854,8.37390041,0.00256122132764364,0.442703256751584
210,Tolgen North,243.97589064,0.381212,0.00011931200543971,0.04969244210497541
66,Unnamed,10082.0534556,15.75319958,0.004744948015471481,0.260465821851323
236,Ellendale,160714.04822,251.11599731,0.07603615304514409,2.27727601602221
132,Denbigh Buried Channel,1961.74702051,3.06522989,0.000962569353989092,0.28628496079616106
157,Courtenay,23208.0598825,36.26259995,0.0111539223134683,0.400346023661168
18,Elliot,1934.38027932,3.0224699999999998,0.000914766091596126,0.493830147789979
191,Apple Creek,25117.6175562,39.24629974,0.0119833508323553,0.927639549375732
218,McClusky,4471.71316385,6.98705006,0.00215697102638641,0.202776443029158
117,Des Lacs River,12880.7241057,20.12610054,0.0063295123502252,1.4087824007309
125,Zap,4948.96242081,7.73274994,0.00238165441443349,0.479097323478875
144,Roosevelt,1117.18381708,1.74559999,0.000551899990560433,0.0916339916866319
130,Karlsruhe Deep Channel,2379.20095642,3.71749997,0.0011624891579353,0.493734869152206
110,Kenmare,6982.71511839,10.91049957,0.00345061228573695,0.693685669879745
126,Pleasant Lake,7660.81737043,11.97000027,0.00376251856856714,0.37693149746239796
271,White Shield,34434.2979215,53.80360031,0.0166942995757387,1.79308027552484
171,St. James,9547.91770626,14.918600080000001,0.00452008362130135,0.5806756526344969
211,Oakes,104235.520198,162.86799622,0.049047428595076,1.19648395716367
53,Pembina River,6166.70865184,9.63547993,0.00305865923157933,0.375455799558841
33,Medina South,603.60049796,0.94312602,0.00028832091319202,0.133903478866264
185,Long Lake,46964.8638731,73.38259888,0.0223562211478659,2.01627712234384
227,Buffalo Creek,877.32699651,1.37082005,0.000422256765873554,0.206543830880612
172,Beaver Creek,4123.47593305,6.44293022,0.00194999328443602,0.356803388785024
7,Dead Colt,3024.56718216,4.7258901600000005,0.0014307913767038502,0.151814311239774
186,Random Creek,7243.31621777,11.31770039,0.00345706867160697,0.514495749478522
48,Unnamed,603.177791,0.94246501,0.000297219098780289,0.0644219061694142
10,Fairmount,30437.4957016,47.55860138,0.0143159146302333,0.6341067275420399
246,Rusland,911.56945038,1.4243299999999999,0.000441577552116213,0.14925219059345202
178,Denbigh-Lake Souris,22302.9873602,34.84840012,0.0109377895925166,0.444114347107065
127,New Rockford,243618.042368,380.65301514,0.118268478965787,6.351746402863619
278,Lake Souris,158364.344283,247.44400024,0.0777273552955091,4.781381289567619
164,Wolf Creek,3232.87884483,5.05137014,0.0015636773156026001,0.271992292098977
160,Wing Channel,16242.401686,25.37879944,0.0077884313942787305,1.47395500552336
188,McKenzie,26309.436097,41.10850143,0.012546084573696102,0.664166515716753
206,Middle James,998.94304185,1.5608500200000002,0.000469888263109731,0.181418360054559
71,Unnamed,10868.3325392,16.98180008,0.00517178786938024,0.29814328557665903
263,Shell Creek-White Lake,25092.7879207,39.20750046,0.0123108120584446,2.37402321746549
268,Carrington,37147.7780325,58.04339981,0.0179531736620974,0.749700813087728
9,Gwinner,6295.61704395,9.83689976,0.00296757120125363,0.856649977009618
166,Antelope Creek,12201.3307234,19.06459999,0.005878237769352991,0.977490244851084
250,Warwick Aquifer,47523.0646536,74.25479889,0.023109969328958098,0.7932024000160499
62,Stoney Creek,8052.53354216,12.58209991,0.0038409646626760504,0.696965059140486
272,Missouri River - Lake Sakakawea,293501.6846,458.5960083,0.142660505275969,7.468347515335799
8,Big Bend,3376.78789057,5.27622986,0.0015983148325048701,0.19997541586041298
114,Austin,1847.77431403,2.88715005,0.000903814654056558,0.139273798983917
100,Unnamed,1133.26484949,1.77073002,0.000559936939980516,0.136818586429943
11,Elk Valley,114473.516256,178.86500549,0.0557047886618746,1.35542615520322
75,Edgeley,1439.67309413,2.24949002,0.0006819572371526031,0.127036131609153
215,Russell Lake,2435.12027526,3.8048799,0.00117335879007626,0.306122126732998
76,Medina North,1084.46951239,1.69447994,0.0005182431265728259,0.19894819362959398
88,Unnamed,360.68443663,0.56356901,0.000173950357486477,0.116514143143719
183,New Town,13154.2794916,20.55360031,0.00640676859956387,0.6198367170249831
118,Pleasant Lake - Intermediate Channel,863.19586505,1.34873998,0.000424156809631569,0.190986028320138
